model,label,tp,pp,layer_split,ffn_splits,head_splits,kv_splits,workload,in_len,out_len,n_req,tps,ttft_ms,itl_ms,regime,n_layers,hidden,ffn_dim,n_q,n_kv,head_dim,params_b,vocab,source_dir
8b,TP4PP2_layer_skew+4_20-12,4,2,20-12,3584:3584:3584:3584,8:8:8:8,2:2:2:2,prefill_heavy,1024,128,128,1927.038441,2590.240758,45.329188,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+6_22-10,4,2,22-10,3584:3584:3584:3584,8:8:8:8,2:2:2:2,balanced,512,256,128,2817.983184,2498.411332,35.465495,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+6_22-10,4,2,22-10,3584:3584:3584:3584,8:8:8:8,2:2:2:2,decode_heavy,128,512,128,3749.717597,2615.101235,29.082568,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+6_22-10,4,2,22-10,3584:3584:3584:3584,8:8:8:8,2:2:2:2,prefill_heavy,1024,128,128,1912.885757,2608.901712,45.892012,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+8_24-8,4,2,24-8,3584:3584:3584:3584,8:8:8:8,2:2:2:2,balanced,512,256,128,2787.978929,2587.827134,35.560383,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+8_24-8,4,2,24-8,3584:3584:3584:3584,8:8:8:8,2:2:2:2,decode_heavy,128,512,128,3638.761926,2682.365375,29.935797,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+8_24-8,4,2,24-8,3584:3584:3584:3584,8:8:8:8,2:2:2:2,prefill_heavy,1024,128,128,1949.312866,2690.407606,43.946386,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_uniform_16-16,4,2,16-16,3584:3584:3584:3584,8:8:8:8,2:2:2:2,balanced,512,256,128,3036.332297,2126.47544,33.935789,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_uniform_16-16,4,2,16-16,3584:3584:3584:3584,8:8:8:8,2:2:2:2,decode_heavy,128,512,128,3685.731203,2665.057311,29.51569,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_uniform_16-16,4,2,16-16,3584:3584:3584:3584,8:8:8:8,2:2:2:2,prefill_heavy,1024,128,128,2107.093432,2144.855617,43.450811,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
